,origin,hs07,year,export_val
113,abw,Textiles,2011,1201100.2500000002
114,abw,Textiles,2012,1210805.0899999999
115,abw,Textiles,2013,786316.2000000001
116,abw,Textiles,2014,479718.24999999994
117,abw,Textiles,2015,1027190.8400000001
118,abw,Textiles,2016,965476.39
119,abw,Textiles,2017,442932.77
120,abw,Transportation,2008,6440432.65
121,abw,Transportation,2009,15577228.45
122,abw,Transportation,2010,25809030.500000004
123,abw,Transportation,2011,32408267.070000004
124,abw,Transportation,2012,23802027.139999997
125,abw,Transportation,2013,41071018.22
126,abw,Transportation,2014,34281463.89
127,abw,Transportation,2015,19109854.970000003
128,abw,Transportation,2016,4282172.46
129,abw,Transportation,2017,70717176.84
130,abw,Vegetable Products,2008,1575208.27
131,abw,Vegetable Products,2009,2166834.78
132,abw,Vegetable Products,2010,21381815.77
133,abw,Vegetable Products,2011,133512958.93999998
134,abw,Vegetable Products,2012,157190017.25999993
135,abw,Vegetable Products,2013,501345.36
136,abw,Vegetable Products,2014,475218.34
137,abw,Vegetable Products,2015,1062442.08
138,abw,Vegetable Products,2016,1182487.48
139,abw,Vegetable Products,2017,1106512.79
140,abw,Wood & Wood Products,2008,1301097.38
141,abw,Wood & Wood Products,2009,2405630.7100000004
142,abw,Wood & Wood Products,2010,3142588.9799999995
143,abw,Wood & Wood Products,2011,6168511.05
144,abw,Wood & Wood Products,2012,7245457.300000002
145,abw,Wood & Wood Products,2013,1138130.1
146,abw,Wood & Wood Products,2014,718990.03
147,abw,Wood & Wood Products,2015,9875112.95
148,abw,Wood & Wood Products,2016,411423.32
149,abw,Wood & Wood Products,2017,5170641.779999999
150,afg,Animal & Animal Products,2008,564676.7
151,afg,Animal & Animal Products,2009,11034497.93
152,afg,Animal & Animal Products,2010,1405240.25
153,afg,Animal & Animal Products,2011,549853.38
154,afg,Animal & Animal Products,2012,890795.69
155,afg,Animal & Animal Products,2013,1950410.31
156,afg,Animal & Animal Products,2014,3494326.37
157,afg,Animal & Animal Products,2015,3956561.46
158,afg,Animal & Animal Products,2016,2527975.7299999995
159,afg,Animal & Animal Products,2017,4919328.79
160,afg,Chemicals & Allied Industries,2008,1091553.68
161,afg,Chemicals & Allied Industries,2009,56885000.86000001
162,afg,Chemicals & Allied Industries,2010,11096922.790000001
163,afg,Chemicals & Allied Industries,2011,2636018.8999999994
164,afg,Chemicals & Allied Industries,2012,2026995.25
165,afg,Chemicals & Allied Industries,2013,2817054.9000000004
166,afg,Chemicals & Allied Industries,2014,2677440.4
167,afg,Chemicals & Allied Industries,2015,3923821.7900000005
168,afg,Chemicals & Allied Industries,2016,3132871.29
169,afg,Chemicals & Allied Industries,2017,1892504.17
170,afg,Foodstuffs,2008,489089.2400000001
171,afg,Foodstuffs,2009,6736459.58
172,afg,Foodstuffs,2010,3212326.94
173,afg,Foodstuffs,2011,561666.88
174,afg,Foodstuffs,2012,244419.11999999997
175,afg,Foodstuffs,2013,1172544.42
176,afg,Foodstuffs,2014,2923834.52
177,afg,Foodstuffs,2015,934543.6899999998
178,afg,Foodstuffs,2016,1483608.14
179,afg,Foodstuffs,2017,2116566.41
180,afg,Footwear / Headgear,2008,180796.0
181,afg,Footwear / Headgear,2009,689164.23
182,afg,Footwear / Headgear,2010,500699.0
183,afg,Footwear / Headgear,2011,30739.0
184,afg,Footwear / Headgear,2012,25807.85
185,afg,Footwear / Headgear,2013,287481.0
186,afg,Footwear / Headgear,2014,367127.0
187,afg,Footwear / Headgear,2015,61791.0
188,afg,Footwear / Headgear,2016,82968.0
189,afg,Footwear / Headgear,2017,1220114.0
190,afg,Machinery / Electrical,2008,8276062.38
191,afg,Machinery / Electrical,2009,266966907.42
192,afg,Machinery / Electrical,2010,51974930.78
193,afg,Machinery / Electrical,2011,19862869.92
194,afg,Machinery / Electrical,2012,19391064.43
195,afg,Machinery / Electrical,2013,20109377.03
196,afg,Machinery / Electrical,2014,11731749.24
197,afg,Machinery / Electrical,2015,11077977.7
198,afg,Machinery / Electrical,2016,8493842.79
199,afg,Machinery / Electrical,2017,5456251.87
200,afg,Metals,2008,25815228.62
201,afg,Metals,2009,125008724.59000002
202,afg,Metals,2010,38881775.96999999
203,afg,Metals,2011,65309141.89000001
204,afg,Metals,2012,44462433.16
205,afg,Metals,2013,46506952.63999999
206,afg,Metals,2014,81696848.77000001
207,afg,Metals,2015,27885066.71
208,afg,Metals,2016,26463152.759999998
209,afg,Metals,2017,452621.9
210,afg,Mineral Products,2008,18012517.259999998
211,afg,Mineral Products,2009,15750029.0
212,afg,Mineral Products,2010,11117463.679999996
213,afg,Mineral Products,2011,48929500.08
214,afg,Mineral Products,2012,55124884.970000006
215,afg,Mineral Products,2013,65391929.83999999
216,afg,Mineral Products,2014,114320810.31000002
217,afg,Mineral Products,2015,65066265.05
218,afg,Mineral Products,2016,78586962.62
219,afg,Mineral Products,2017,1159857.8600000003
220,afg,Miscellaneous,2008,1704390.11
221,afg,Miscellaneous,2009,7281614.779999999
222,afg,Miscellaneous,2010,2843590.5300000003
223,afg,Miscellaneous,2011,10027595.86
224,afg,Miscellaneous,2012,2272480.4600000004
225,afg,Miscellaneous,2013,2705404.83
